,city,lon,lat
349,Cuanajo,-101.5167,19.4833
350,Kiama,150.8667,-34.6833
351,Olinda,-34.8553,-8.0089
352,Ufimskiy,58.0517,56.7084
353,Atasū,71.6433,48.6814
354,Waynesville,-82.9887,35.4887
355,Envira,-70.2167,-7.3
356,Temerloh,102.4176,3.4483
357,Ust'ye,39.736,59.6304
358,Makakilo City,-158.0858,21.3469
359,Yumen,97.2,40.2833
360,Oussouye,-16.5469,12.485
361,Labuhan,112.2051,-6.8844
362,Khandyga,135.6,62.6667
363,San Miguel de Tucumán,-65.2226,-26.8241
364,Itupiranga,-49.3267,-5.1347
365,Tacna,-70.2483,-18.0056
366,Coxim,-54.76,-18.5067
367,Santa Barbara,-120.0343,34.7333
368,Tuatapere,167.6833,-46.1333
369,Bathsheba,-59.5167,13.2167
370,Heihe,127.4902,50.2441
371,Vostok,135.8833,46.4856
372,Tigil',158.6667,57.8
373,Podyuga,40.8647,61.095
374,Artigas,-56.4667,-30.4
375,Nanganga,39.15,-10.3833
376,Benton Harbor,-86.4542,42.1167
377,Grindavik,-22.4338,63.8424
378,Playa Vicente,-95.8167,17.8333
379,Toyooka,134.8333,35.5333
380,Sittwe,92.9,20.15
381,Qasigiannguit,-51.1922,68.8193
382,Vikulovo,70.6107,56.8167
383,Jining,116.5814,35.405
384,Tezu,96.1667,27.9167
385,Sørland,12.6934,67.667
386,Usinsk,57.5281,65.9939
387,Tegul'det,88.1667,57.3064
388,Baiyin,104.2081,36.5583
389,Champerico,-91.9167,14.3
390,Guane,-84.0875,22.2025
391,Pitimbu,-34.8086,-7.4706
392,Vila Velha,-40.2925,-20.3297
393,Carutapera,-46.02,-1.195
394,Lugovoy,72.7644,42.9472
395,Beatrice,-96.747,40.2681
396,Cilegon,106.0538,-6.0174
397,Ust'-Ishim,71.1665,57.6935
398,Pio IX,-40.5792,-6.8375
399,Province of Palermo,13.5833,37.8167
400,Wagar,36.2032,16.1525
401,Karasuk,78.0403,53.7377
402,Ukiah,-123.2078,39.1502
403,Forsytheganj,29.7333,52.6333
404,Pacific Grove,-121.9166,36.6177
405,Kalmunai,81.8167,7.4167
406,Hirara,125.2833,24.8
407,Ixtapa,-105.2,20.7
408,Maragogi,-35.2225,-9.0122
409,Bukachacha,116.9167,52.9833
410,Kayerkan,87.7602,69.3497
411,Bay-Khaak,94.5,51.1667
412,Samfya,29.5565,-11.3649
413,Cruzeiro do Oeste,-53.0733,-23.785
414,Mayo,-76.5119,38.8876
415,Houma,-90.7195,29.5958
416,Arvika,12.5852,59.6553
417,Russellville,-93.1338,35.2784
418,Ibanda,32.4746,-2.7974
419,Baker City,-117.8344,44.7749
420,Bilma,12.9164,18.6853
421,Nāwa,75.0,27.0167
422,Pangkalanbuun,111.6167,-2.6833
423,Norden,7.2,53.6
424,Haines Junction,-137.5108,60.7522
425,La Resolana,-104.4333,19.6
426,Kirgiz-Miyaki,54.7979,53.6324
427,Meulaboh,96.1285,4.1363
428,Sandakan,118.1179,5.8402
429,Millerovo,40.3967,48.9226
430,Ban Nahin,104.2122,18.2418
431,San Rafael,-68.3301,-34.6177
432,Gunnedah,150.25,-30.9833
433,Sola,167.55,-13.8833
434,Tocopilla,-70.1979,-22.092
435,Waipawa,175.5153,-41.4122
436,Saint Lawrence,14.204,36.0553
